analogy,expected,result,cos_similarity,cos_distance
homem -> mulher,deputada,deputada,1.0,0.0
mulher -> homem,deputado,deputado,1.0,0.0
homem -> mulher,presidenta,primeira-dama,0.572935163974762,0.42706483602523804
mulher -> homem,presidente,rousseff,0.5147092938423157,0.4852907061576843
homem -> mulher,senadora,senadora,1.0,0.0
mulher -> homem,senador,senador,1.0,0.0
homem -> mulher,juíza,juíza,0.9999999403953552,5.960464477539063e-08
mulher -> homem,juiz,juiz,0.9999999403953552,5.960464477539063e-08
homem -> mulher,advogada,advogada,1.0,0.0
mulher -> homem,advogado,nego,0.3477818965911865,0.6522181034088135
homem -> mulher,professora,professora,0.9999999403953552,5.960464477539063e-08
mulher -> homem,professor,professor,1.0,0.0
homem -> mulher,engenheira,engenheira,1.0,0.0
mulher -> homem,engenheiro,pedagogo,0.5788781642913818,0.42112183570861816
homem -> mulher,cantora,cantora,1.0,0.0
mulher -> homem,cantor,tá,0.4196069836616516,0.5803930163383484
homem -> mulher,musicista,pianista,0.76324462890625,0.23675537109375
mulher -> homem,músico,virtuoso,0.6326582431793213,0.3673417568206787
homem -> mulher,dançarina,dançarina,1.0,0.0
mulher -> homem,dançarino,dançarino,1.0,0.0
homem -> mulher,empresária,empresária,1.0,0.0
mulher -> homem,empresário,nego,0.32848498225212097,0.671515017747879
homem -> mulher,esposa,esposa,1.0,0.0
mulher -> homem,marido,meio-irmão,0.5000948905944824,0.4999051094055176
homem -> mulher,mãe,mãe,0.9999999403953552,5.960464477539063e-08
mulher -> homem,pai,rapaz,0.45568397641181946,0.5443160235881805
homem -> mulher,filha,filha,1.0,0.0
mulher -> homem,filho,filho,1.0,0.0
homem -> mulher,casada,empresária,0.6419959664344788,0.35800403356552124
mulher -> homem,casado,sebastiano,0.2367037981748581,0.7632962018251419
homem -> mulher,programadora,engenheira,0.5298939347267151,0.4701060652732849
mulher -> homem,programador,libido,0.525426983833313,0.474573016166687
homem -> mulher,pesquisadora,pesquisadora,1.0,0.0
mulher -> homem,pesquisador,pesquisador,1.0,0.0
homem -> mulher,astrônoma,engenheira,0.6703570485115051,0.3296429514884949
mulher -> homem,astrônomo,vasili,0.6369262933731079,0.3630737066268921
homem -> mulher,médica,médica,1.0,0.0
mulher -> homem,médico,forense,0.4357178807258606,0.5642821192741394
homem -> mulher,enfermeira,antipoff,0.572184681892395,0.427815318107605
mulher -> homem,enfermeiro,cozinheiro,0.562743604183197,0.437256395816803
homem -> mulher,filósofa,escritora,0.7780356407165527,0.22196435928344727
mulher -> homem,filósofo,girard,0.6976270079612732,0.3023729920387268
homem -> mulher,arquiteta,engenheira,0.6890034079551697,0.3109965920448303
mulher -> homem,arquiteto,schenberg,0.4406365752220154,0.5593634247779846
homem -> mulher,neurocirurgiã,geóloga,0.6455891132354736,0.35441088676452637
mulher -> homem,neurocirurgião,indiscutivelmente,0.6084499955177307,0.3915500044822693
homem -> mulher,divorciada,casado,0.5651468634605408,0.43485313653945923
mulher -> homem,divorciado,vasili,0.4255535304546356,0.5744464695453644
homem -> mulher,amiga,amiga,1.0,0.0
mulher -> homem,amigo,amigo,1.0,0.0
homem -> mulher,ministra,ministra,0.9999999403953552,5.960464477539063e-08
mulher -> homem,ministro,ministro,1.0,0.0
homem -> mulher,secretária,secretária,0.9999999403953552,5.960464477539063e-08
mulher -> homem,secretário,secretário,1.0,0.0
homem -> mulher,assessora,assessora,1.0,0.0
mulher -> homem,assessor,assessor,1.0,0.0
homem -> mulher,executiva,executiva,1.0,0.0
mulher -> homem,executivo,fsf,0.4824298620223999,0.5175701379776001
homem -> mulher,diretora,diretora,1.0,0.0
mulher -> homem,diretor,diretor,1.0,0.0
homem -> mulher,fotógrafa,fotógrafa,1.0,0.0
mulher -> homem,fotógrafo,gravurista,0.6626113653182983,0.33738863468170166
homem -> mulher,pintora,pintora,1.0,0.0
mulher -> homem,pintor,girard,0.5022574663162231,0.49774253368377686
homem -> mulher,atriz,atriz,1.0,0.0
mulher -> homem,ator,ator,1.0,0.0
homem -> mulher,escritora,escritora,0.9999999403953552,5.960464477539063e-08
mulher -> homem,escritor,romancista,0.8408274054527283,0.15917259454727173
homem -> mulher,tia,esposa,0.6219095587730408,0.37809044122695923
mulher -> homem,tio,rapaz,0.4886918067932129,0.5113081932067871
homem -> mulher,irmã,irmã,0.9999999403953552,5.960464477539063e-08
mulher -> homem,irmão,rapaz,0.36477965116500854,0.6352203488349915
homem -> mulher,enteada,nora,0.7370917201042175,0.26290827989578247
mulher -> homem,enteado,sanune,0.6315258145332336,0.36847418546676636
homem -> mulher,dama,dama,1.0,0.0
mulher -> homem,cavalheiro,senhor,0.6162996292114258,0.3837003707885742
homem -> mulher,ladra,garota,0.4317348003387451,0.5682651996612549
mulher -> homem,ladrão,demolidor,0.5106813907623291,0.4893186092376709
homem -> mulher,blogueira,locutora,0.5929744839668274,0.4070255160331726
mulher -> homem,blogueiro,desconcertante,0.5058310627937317,0.4941689372062683
homem -> mulher,bibliotecária,engenheira,0.6653262376785278,0.33467376232147217
mulher -> homem,bibliotecário,moagem,0.4351690411567688,0.5648309588432312
homem -> mulher,bióloga,engenheira,0.7486023902893066,0.25139760971069336
mulher -> homem,biólogo,girard,0.6125937104225159,0.38740628957748413
homem -> mulher,geóloga,engenheira,0.7485604882240295,0.25143951177597046
mulher -> homem,geólogo,declarava-se,0.5021876692771912,0.49781233072280884
homem -> mulher,cuidadora,ywca,0.43621158599853516,0.5637884140014648
mulher -> homem,cuidador,escravizado,0.5375729203224182,0.4624270796775818
homem -> mulher,delegada,secretária,0.6278001070022583,0.3721998929977417
mulher -> homem,delegado,brazzaville,0.5698811411857605,0.4301188588142395
homem -> mulher,cirurgiã,enfermeira,0.6871495246887207,0.3128504753112793
mulher -> homem,cirurgião,dostler,0.5243372321128845,0.4756627678871155
homem -> mulher,torcedora,dodô,0.3363097906112671,0.6636902093887329
mulher -> homem,torcedor,torcedor,1.0,0.0
homem -> mulher,sócia,sócia,1.0,0.0
mulher -> homem,sócio,moagem,0.40380892157554626,0.5961910784244537
homem -> mulher,programadora,engenheira,0.5298939347267151,0.4701060652732849
mulher -> homem,programador,libido,0.525426983833313,0.474573016166687
homem -> mulher,garçonete,enfermeira,0.6947369575500488,0.30526304244995117
mulher -> homem,garçom,stiller,0.6191924214363098,0.3808075785636902
homem -> mulher,santa,imaculada,0.5298291444778442,0.47017085552215576
mulher -> homem,santo,jesus,0.4991927444934845,0.5008072555065155
