analogy,expected,result,cos_similarity,cos_distance
homem -> mulher,deputada,deputada,0.9999999403953552,5.960464477539063e-08
mulher -> homem,deputado,deputado,1.0,0.0
homem -> mulher,presidenta,procuradora-geral,0.6522517800331116,0.3477482199668884
mulher -> homem,presidente,pró-impeachment,0.4931083917617798,0.5068916082382202
homem -> mulher,senadora,senadora,0.9999999403953552,5.960464477539063e-08
mulher -> homem,senador,senador,1.0,0.0
homem -> mulher,juíza,juíza,1.0,0.0
mulher -> homem,juiz,juiz,1.0,0.0
homem -> mulher,advogada,advogada,1.0,0.0
mulher -> homem,advogado,advogado,1.0,0.0
homem -> mulher,professora,professora,1.0,0.0
mulher -> homem,professor,professor,1.0000001192092896,-1.1920928955078125e-07
homem -> mulher,engenheira,engenheira,1.0000001192092896,-1.1920928955078125e-07
mulher -> homem,engenheiro,informático,0.6598696112632751,0.34013038873672485
homem -> mulher,cantora,cantora,1.0,0.0
mulher -> homem,cantor,cantor,1.0,0.0
homem -> mulher,musicista,musicista,1.0,0.0
mulher -> homem,músico,músico,1.0,0.0
homem -> mulher,dançarina,coreógrafa,0.7010623812675476,0.2989376187324524
mulher -> homem,dançarino,dançarino,1.0,0.0
homem -> mulher,empresária,empresária,1.0,0.0
mulher -> homem,empresário,mansur,0.6388787627220154,0.3611212372779846
homem -> mulher,esposa,esposa,0.9999999403953552,5.960464477539063e-08
mulher -> homem,marido,assassinou,0.42579320073127747,0.5742067992687225
homem -> mulher,mãe,mãe,1.0,0.0
mulher -> homem,pai,pai,0.9999999403953552,5.960464477539063e-08
homem -> mulher,filha,filha,0.9999999403953552,5.960464477539063e-08
mulher -> homem,filho,filho,1.0,0.0
homem -> mulher,casada,casada,1.0,0.0
mulher -> homem,casado,casado,1.0,0.0
homem -> mulher,programadora,geóloga,0.677677571773529,0.32232242822647095
mulher -> homem,programador,reformula,0.5024089813232422,0.4975910186767578
homem -> mulher,pesquisadora,pesquisadora,0.9999999403953552,5.960464477539063e-08
mulher -> homem,pesquisador,pesquisador,1.0,0.0
homem -> mulher,astrônoma,astrônoma,1.0,0.0
mulher -> homem,astrônomo,hutcheson,0.581693172454834,0.418306827545166
homem -> mulher,médica,médica,1.0,0.0
mulher -> homem,médico,médico,1.0,0.0
homem -> mulher,enfermeira,doutorada,0.4389096200466156,0.5610903799533844
mulher -> homem,enfermeiro,zelador,0.43679332733154297,0.563206672668457
homem -> mulher,filósofa,linguista,0.6232916712760925,0.37670832872390747
mulher -> homem,filósofo,pensador,0.7407699823379517,0.25923001766204834
homem -> mulher,arquiteta,escultora,0.7218719720840454,0.2781280279159546
mulher -> homem,arquiteto,modelista,0.4732871353626251,0.5267128646373749
homem -> mulher,neurocirurgiã,geóloga,0.6585267186164856,0.3414732813835144
mulher -> homem,neurocirurgião,miklós,0.6877804398536682,0.3122195601463318
homem -> mulher,divorciada,divorciou-se,0.721554696559906,0.278445303440094
mulher -> homem,divorciado,solteirão,0.6449005007743835,0.35509949922561646
homem -> mulher,amiga,amiga,1.0,0.0
mulher -> homem,amigo,amigo,1.0,0.0
homem -> mulher,ministra,ministra,1.0,0.0
mulher -> homem,ministro,ministro,0.9999999403953552,5.960464477539063e-08
homem -> mulher,secretária,secretária,0.9999999403953552,5.960464477539063e-08
mulher -> homem,secretário,assessor,0.6917847990989685,0.3082152009010315
homem -> mulher,assessora,assessora,1.0,0.0
mulher -> homem,assessor,assessor,1.0,0.0
homem -> mulher,executiva,executiva,1.0,0.0
mulher -> homem,executivo,executivo,1.0,0.0
homem -> mulher,diretora,diretora,1.0,0.0
mulher -> homem,diretor,diretor,1.0,0.0
homem -> mulher,fotógrafa,fotógrafa,1.0,0.0
mulher -> homem,fotógrafo,arad,0.524715781211853,0.475284218788147
homem -> mulher,pintora,pintora,1.0,0.0
mulher -> homem,pintor,pintor,0.9999999403953552,5.960464477539063e-08
homem -> mulher,atriz,atriz,1.0,0.0
mulher -> homem,ator,ator,1.0,0.0
homem -> mulher,escritora,escritora,1.0,0.0
mulher -> homem,escritor,escritor,1.0,0.0
homem -> mulher,tia,tia,1.0,0.0
mulher -> homem,tio,avô,0.7366389036178589,0.2633610963821411
homem -> mulher,irmã,irmã,1.0,0.0
mulher -> homem,irmão,irmão,1.0,0.0
homem -> mulher,enteada,sobrinha,0.6551016569137573,0.3448983430862427
mulher -> homem,enteado,criá-lo,0.6537517309188843,0.3462482690811157
homem -> mulher,dama,jarreteira,0.5040403008460999,0.49595969915390015
mulher -> homem,cavalheiro,cavalheiro,0.9999999403953552,5.960464477539063e-08
homem -> mulher,ladra,bellucci,0.6608557105064392,0.3391442894935608
mulher -> homem,ladrão,dernier,0.5001905560493469,0.4998094439506531
homem -> mulher,blogueira,marilac,0.7322677969932556,0.2677322030067444
mulher -> homem,blogueiro,blogueiro,1.0,0.0
homem -> mulher,bibliotecária,arquivista,0.47422388195991516,0.5257761180400848
mulher -> homem,bibliotecário,kittel,0.4993397295475006,0.5006602704524994
homem -> mulher,bióloga,geóloga,0.8462862372398376,0.15371376276016235
mulher -> homem,biólogo,paleobotânico,0.7667533755302429,0.23324662446975708
homem -> mulher,geóloga,geóloga,1.0,0.0
mulher -> homem,geólogo,paleobotânico,0.8214480876922607,0.17855191230773926
homem -> mulher,cuidadora,neonatal,0.6854704022407532,0.3145295977592468
mulher -> homem,cuidador,curando,0.7027329206466675,0.2972670793533325
homem -> mulher,delegada,delegada,0.9999999403953552,5.960464477539063e-08
mulher -> homem,delegado,delegado,0.9999999403953552,5.960464477539063e-08
homem -> mulher,cirurgiã,médica,0.6266987919807434,0.3733012080192566
mulher -> homem,cirurgião,chandrasekhara,0.5183629989624023,0.48163700103759766
homem -> mulher,torcedora,regatas,0.7312682271003723,0.2687317728996277
mulher -> homem,torcedor,torce,0.6668878197669983,0.3331121802330017
homem -> mulher,sócia,sócia,1.0000001192092896,-1.1920928955078125e-07
mulher -> homem,sócio,sócio-diretor,0.6002458930015564,0.3997541069984436
homem -> mulher,programadora,geóloga,0.677677571773529,0.32232242822647095
mulher -> homem,programador,reformula,0.5024089813232422,0.4975910186767578
homem -> mulher,garçonete,recepcionista,0.8161554932594299,0.18384450674057007
mulher -> homem,garçom,zelador,0.6377060413360596,0.36229395866394043
homem -> mulher,santa,tirso,0.524545431137085,0.47545456886291504
mulher -> homem,santo,cruz,0.3582051992416382,0.6417948007583618
